.model,h,RMSE
arima,1,63670.939745825766
arima,2,101275.19393333263
arima,3,85567.53517844403
arima,4,94978.65334841167
arima,5,116698.73873716399
arima,6,81417.59450630081
arima,7,103235.8425717519
arima,8,90001.47996165442
arima,9,100127.16418506269
arima,10,122708.86888108794
arima_d0,1,64373.73537099766
arima_d0,2,110259.83540434325
arima_d0,3,82867.21200669186
arima_d0,4,95006.8316135253
arima_d0,5,113503.64364080149
arima_d0,6,76174.70092070926
arima_d0,7,108545.67118500268
arima_d0,8,85749.95070497849
arima_d0,9,98307.01870598944
arima_d0,10,115860.0256635873
arimax,1,63021.033040022645
arimax,2,110788.9641039384
arimax,3,79782.65891751203
arimax,4,79719.2521970224
arimax,5,108792.40398982384
arimax,6,91383.63302813498
arimax,7,121480.50764835082
arimax,8,91784.68891753117
arimax,9,90404.06322855133
arimax,10,121489.06496500596
ets,1,76958.80691897908
ets,2,110715.08842348328
ets,3,92219.477365816565
ets,4,97749.36611020903
ets,5,112199.38070680515
ets,6,77541.88791124476
ets,7,106328.18528203163
ets,8,95059.43638314006
ets,9,100102.8817512405
ets,10,127776.59605781568
naive,1,83020.42342700981
naive,2,130383.01907561708
naive,3,134814.27015038807
naive,4,128096.76178009127
naive,5,117418.04834397943
naive,6,120098.37939622666
naive,7,159656.50125503817
naive,8,133251.6235754747
naive,9,113619.40542310543
naive,10,133580.66600298113
snaive,1,75829.54470629265
snaive,2,184059.30244402704
snaive,3,91829.28068333205
snaive,4,173892.1994117986
snaive,5,160493.01190847703
snaive,6,76959.45222323247
snaive,7,190383.27730712065
snaive,8,89971.15891773319
snaive,9,181431.24375310884
snaive,10,154321.76472746805
