category,.model,RMSE,MAE,MAPE,MASE
Beverages,arima,26251.0514797775,22523.80146559303,9.1853604325474425,0.6654410768662038
Biryani,arima,1308.5588631512283,976.2684659273162,16.845831847122337,1.4524158930268374
Desert,arima,5539.288171412004,3745.487964316635,20.632395952897934,0.8669264798401559
Extras,arima,1528.7369900167223,1312.141784653666,5.048833612960013,0.3643106961425773
Other Snacks,arima,7608.016852502564,6292.074411942236,19.374364628981315,0.6390300256120043
Pasta,arima,3444.8437916625744,2693.745579545807,23.47707068790644,0.9500012029093172
Pizza,arima,36627.940534750254,20921.773451116027,24.454234261789775,0.687526852214065
Rice Bowl,arima,26546.51502753503,23863.07425314111,21.08187932085396,0.4805670918590167
Sandwich,arima,33660.88084213579,32411.88260534129,38.24569835577373,0.42513439499636074
Seafood,arima,11767.687703950829,11411.354489266432,159.09706738087928,0.6058163843951312
Soup,arima,2286.6483024409745,2022.9010214101882,19.477914703335045,1.000207217524964
Starters,arima,10291.68265618774,9761.936687299365,49.03252571357737,1.2436657053569908
Beverages,arimax,16086.65259822279,11138.531095668779,4.543129224796091,0.3290757174508054
Biryani,arimax,513.2497927429931,374.92911459861915,7.011511558051614,0.5577902224715073
Desert,arimax,996.752111606626,704.7896066793916,4.400712683711627,0.1631298187492561
Extras,arimax,6562.298641399974,6246.895695749407,23.7516239215504,1.7344245463909425
Other Snacks,arimax,3250.66354539704,2781.795870505186,9.26032788292075,0.2825222605445271
Pasta,arimax,1418.1516813152737,1227.7123944204543,12.106841862587983,0.4329763955372372
Pizza,arimax,18230.69056057224,13469.999407108826,19.868473873823874,0.4426482445827672
Rice Bowl,arimax,41249.96297690603,24044.759661657255,17.784056210470176,0.48422596780591315
Sandwich,arimax,9749.82730560654,8148.367228441653,8.957758470450653,0.10687904846665228
Seafood,arimax,8086.190711277113,4401.302247683957,25.752376249886694,0.2336603438995842
Soup,arimax,1119.715910274521,955.827094293335,9.158860065678269,0.47260105576082595
Starters,arimax,4849.62047237666,4221.373252649403,21.45938184475952,0.5378007778581237
Beverages,ets,16997.941381371045,13547.448857744186,5.450975257621749,0.4002445577607455
Biryani,ets,1313.31146265342,973.864986730952,16.781404447541593,1.448840184597043
Desert,ets,6979.833255809586,6519.31361529947,45.130550461912215,1.5089530809683795
Extras,ets,2631.9650745971767,2299.77641629946,8.823058244183645,0.6385233341345655
Other Snacks,ets,8441.61579761201,6280.587239825277,17.191861383174114,0.6378633757265265
Pasta,ets,3442.155742749985,2448.784680372262,21.18549927469889,0.8636110290756571
Pizza,ets,37164.79075735693,22445.606485317378,26.626115201111016,0.7376027280355947
Rice Bowl,ets,38447.64991377856,35177.64518500874,30.988337246967152,0.7084258493133067
Sandwich,ets,67340.13199608534,66805.40806357077,77.61994454093626,0.8762612491664028
Seafood,ets,12237.018408764767,12164.02653863054,171.0392515998464,0.645774923936597
Soup,ets,1187.881495764504,1085.0862442848643,10.756687171971322,0.5365122078064869
Starters,ets,2335.8517437745872,1404.6292433500985,7.647248149379751,0.17894904204498918
Beverages,snaive,31717.267923010015,26760.5,10.935277038943436,0.7906097007949804
Biryani,snaive,1225.8565168893135,989.6,17.84612697891803,1.472249507080122
Desert,snaive,5619.628671006652,4551.8,25.91208372409504,1.0535545671300492
Extras,snaive,1937.669837717458,1766.6,6.654889961014777,0.4904891249807658
Other Snacks,snaive,6058.1801557893605,5016.8,16.90802530244074,0.5095117480501491
Pasta,snaive,3143.7351192490755,2588.7,25.52981650805158,0.9129548583374408
Pizza,snaive,53400.48369162961,44522.3,84.02594094653533,1.4630823167955405
Rice Bowl,snaive,40168.472001060734,26544.9,22.383933652339316,0.5345751038347145
Sandwich,snaive,39046.80587448863,30897.8,34.305414019841585,0.40527474660030594
Seafood,snaive,13713.922462227938,7628.1,91.10297539310339,0.4049675230185204
Soup,snaive,3772.810265571276,3648.7,35.59362289297911,1.8040705086199706
Starters,snaive,34626.010549874205,26399.799999999996,129.00964563534623,3.3633209208373374
