serie,nivel,arima,arimax,ratio
Desert,Categorias,0.8669264798401559,0.1631298187492561,0.18817030341411883
Sandwich,Categorias,0.42513439499636074,0.10687904846665228,0.25140061525148344
Biryani,Categorias,1.4524158930268374,0.5577902224715073,0.38404304521143146
Seafood,Categorias,0.6058163843951312,0.2336603438995842,0.3856949893041917
Starters,Categorias,1.2436657053569908,0.5378007778581237,0.4324319433603337
Other Snacks,Categorias,0.6390300256120043,0.2825222605445271,0.44211108902739465
Pasta,Categorias,0.9500012029093172,0.4329763955372372,0.455764049783595
Soup,Categorias,1.000207217524964,0.47260105576082595,0.47250314482861683
Beverages,Categorias,0.6654410768662038,0.3290757174508054,0.49452269914045394
Pizza,Categorias,0.687526852214065,0.4426482445827672,0.6438268456821618
Rice Bowl,Categorias,0.4805670918590167,0.48422596780591315,1.0076136631260841
Extras,Categorias,0.3643106961425773,1.7344245463909425,4.760838934336847
C174-M1885,Centro-plato,0.2853801203712578,0.24979624840991918,0.8753106140853584
C13-M2707,Centro-plato,0.20631806460704435,0.21000262064011616,1.01785862057251
C13-M1885,Centro-plato,0.5938806310324485,0.7126419468777201,1.1999750617204128
C13-M2290,Centro-plato,0.251014724991279,0.3668777719178089,1.4615786859936415
C157-M1885,Centro-plato,0.6402411706792612,1.1728431705609752,1.8318771492258958
C43-M2290,Centro-plato,0.22614857811025105,0.46818608947922447,2.0702588244927025
