.model,semana_panel,proyeccion,li80,ls80
arima_d0,146,771795,634987,918877
arima_d0,147,812212,662474,973690
arima_d0,148,847026,690868,1015426
arima_d0,149,829168,675619,994814
arima_d0,150,801582,653094,961773
arima_d0,151,824561,671310,989934
arima_d0,152,845140,687916,1014813
arima_d0,153,818368,665804,983040
arima_d0,154,806164,655639,968656
arima_d0,155,833802,677949,1002062
arimax,146,705601,611516,804886
arimax,147,795681,684490,913332
arimax,148,864575,743208,993028
arimax,149,879072,755613,1009742
arimax,150,909743,781971,1044979
arimax,151,858673,738073,986318
arimax,152,796137,684320,914485
arimax,153,744980,640348,855724
arimax,154,712956,612822,818940
arimax,155,699472,601232,803452
