category,semana_panel,proyeccion,li80,ls80
Beverages,146,253142,225539,281979
Beverages,147,262404,232306,293921
Beverages,148,247067,217690,277882
Beverages,149,252264,221473,284605
Beverages,150,263390,230611,297854
Beverages,151,269020,235048,304764
Beverages,152,269599,235176,305838
Beverages,153,261862,228145,297375
Beverages,154,264356,230099,300451
Beverages,155,250374,217768,284738
Biryani,146,4763,4270,5277
Biryani,147,4935,4409,5483
Biryani,148,4685,4180,5212
Biryani,149,4679,4172,5208
Biryani,150,4053,3613,4513
Biryani,151,3542,3157,3944
Biryani,152,3449,3074,3841
Biryani,153,3705,3302,4126
Biryani,154,3569,3181,3974
Biryani,155,2542,2265,2831
Desert,146,12872,11015,14842
Desert,147,15976,13442,18677
Desert,148,18092,15170,21211
Desert,149,27776,23274,32585
Desert,150,16296,13653,19120
Desert,151,11489,9625,13480
Desert,152,10570,8855,12402
Desert,153,13258,11107,15556
Desert,154,14427,12086,16928
Desert,155,11997,10051,14077
Extras,146,26298,22382,30457
Extras,147,27425,22407,32832
Extras,148,29339,23515,35659
Extras,149,30041,23843,36789
Extras,150,30518,24098,37520
Extras,151,28076,22110,34590
Extras,152,31437,24721,38773
Extras,153,33009,25937,40736
Extras,154,30980,24332,38244
Extras,155,29635,23271,36591
Other Snacks,146,33576,29008,38402
Other Snacks,147,25930,22057,30045
Other Snacks,148,26483,22329,30909
Other Snacks,149,25995,21806,30468
Other Snacks,150,41378,34604,48618
Other Snacks,151,44002,36732,51777
Other Snacks,152,41433,34549,48798
Other Snacks,153,30182,25151,35566
Other Snacks,154,29314,24418,34554
Other Snacks,155,27997,23315,33008
Pasta,146,13303,11308,15424
Pasta,147,12272,10279,14401
Pasta,148,13664,11424,16058
Pasta,149,9730,8134,11436
Pasta,150,14236,11900,16732
Pasta,151,11283,9432,13262
Pasta,152,9544,7978,11218
Pasta,153,9621,8042,11308
Pasta,154,8295,6934,9749
Pasta,155,8555,7151,10055
Pizza,146,36756,29905,44150
Pizza,147,34632,27178,42780
Pizza,148,33805,26218,42132
Pizza,149,33453,25839,41822
Pizza,150,59279,45721,74188
Pizza,151,48473,37367,60688
Pizza,152,32223,24835,40348
Pizza,153,30347,23388,38001
Pizza,154,30684,23647,38424
Pizza,155,32188,24806,40308
Rice Bowl,146,104919,82905,128924
Rice Bowl,147,107783,84840,132835
Rice Bowl,148,110992,87366,136790
Rice Bowl,149,124483,97985,153416
Rice Bowl,150,347727,273710,428549
Rice Bowl,151,338180,266194,416782
Rice Bowl,152,111802,88003,137787
Rice Bowl,153,108967,85772,134294
Rice Bowl,154,209650,165024,258379
Rice Bowl,155,209867,165195,258646
Sandwich,146,82991,63692,104249
Sandwich,147,204546,155026,259330
Sandwich,148,85548,64837,108460
Sandwich,149,81357,61661,103148
Sandwich,150,83341,63164,105662
Sandwich,151,86213,65341,109303
Sandwich,152,404673,306702,513057
Sandwich,153,331380,251153,420134
Sandwich,154,82879,62814,105077
Sandwich,155,83489,63277,105850
Seafood,146,4753,3810,5777
Seafood,147,5206,4073,6446
Seafood,148,48786,37934,60685
Seafood,149,47386,36387,59499
Seafood,150,6328,4792,8027
Seafood,151,5479,4117,6990
Seafood,152,6166,4607,7900
Seafood,153,6266,4657,8058
Seafood,154,5815,4302,7502
Seafood,155,8008,5905,10356
Soup,146,9616,8073,11263
Soup,147,10026,8200,11995
Soup,148,10249,8275,12385
Soup,149,10716,8576,13038
Soup,150,10996,8739,13453
Soup,151,10521,8312,12931
Soup,152,10761,8458,13278
Soup,153,10375,8119,12845
Soup,154,10481,8170,13013
Soup,155,10107,7852,12580
Starters,146,17355,15390,19411
Starters,147,18050,15385,20880
Starters,148,18980,15960,22201
Starters,149,21145,17584,24958
Starters,150,20673,17033,24585
Starters,151,20547,16796,24588
Starters,152,20457,16611,24611
Starters,153,21818,17615,26367
Starters,154,22577,18139,27390
Starters,155,21516,17213,26189
