combo,semana_panel,proyeccion,li80,ls80
C13-M1885,146,2747,2062,3508
C13-M1885,147,2668,1950,3472
C13-M1885,148,2640,1916,3453
C13-M1885,149,2614,1886,3433
C13-M1885,150,2590,1860,3414
C13-M1885,151,2569,1837,3395
C13-M1885,152,2549,1816,3377
C13-M1885,153,2531,1798,3359
C13-M1885,154,2514,1782,3343
C13-M1885,155,2499,1768,3327
C13-M2290,146,1833,1043,2794
C13-M2290,147,1913,1029,3007
C13-M2290,148,2269,1190,3615
C13-M2290,149,2153,1120,3446
C13-M2290,150,2153,1120,3446
C13-M2290,151,2153,1120,3446
C13-M2290,152,2153,1120,3446
C13-M2290,153,2153,1120,3446
C13-M2290,154,2153,1120,3446
C13-M2290,155,2153,1120,3446
C13-M2707,146,2144,1430,2970
C13-M2707,147,2122,1389,2972
C13-M2707,148,2106,1369,2964
C13-M2707,149,2094,1357,2954
C13-M2707,150,2087,1351,2946
C13-M2707,151,2082,1347,2940
C13-M2707,152,2079,1344,2936
C13-M2707,153,2077,1343,2933
C13-M2707,154,2075,1342,2931
C13-M2707,155,2074,1341,2930
C157-M1885,146,873,368,1547
C157-M1885,147,827,347,1470
C157-M1885,148,895,347,1646
C157-M1885,149,960,350,1811
C157-M1885,150,1022,355,1966
C157-M1885,151,1080,361,2111
C157-M1885,152,1135,367,2246
C157-M1885,153,1187,374,2372
C157-M1885,154,1235,381,2488
C157-M1885,155,1279,388,2595
C174-M1885,146,2080,1641,2558
C174-M1885,147,2095,1624,2611
C174-M1885,148,2107,1616,2648
C174-M1885,149,2116,1611,2674
C174-M1885,150,2124,1609,2693
C174-M1885,151,2129,1608,2706
C174-M1885,152,2134,1609,2716
C174-M1885,153,2138,1609,2723
C174-M1885,154,2140,1610,2729
C174-M1885,155,2143,1611,2733
C43-M2290,146,1952,814,3477
C43-M2290,147,1965,703,3735
C43-M2290,148,1950,667,3777
C43-M2290,149,1936,653,3770
C43-M2290,150,1925,646,3757
C43-M2290,151,1919,643,3746
C43-M2290,152,1915,641,3740
C43-M2290,153,1913,641,3735
C43-M2290,154,1912,640,3733
C43-M2290,155,1911,640,3731
