id,center_id,meal_id,week,num_orders
1332667,13,1885,146,2747
1022953,13,2707,146,2144
1020081,13,2290,146,1833
1487991,157,1885,146,873
1173972,174,1885,146,2080
1339034,43,2290,146,1952
1039351,13,1885,147,2668
1495360,13,2707,147,2122
1190755,13,2290,147,1913
1173983,157,1885,147,827
1350644,174,1885,147,2095
1142781,43,2290,147,1965
1319273,13,1885,148,2640
1029946,13,2707,148,2106
1167256,13,2290,148,2269
1455460,157,1885,148,895
1103990,174,1885,148,2107
1335631,43,2290,148,1950
1305518,13,1885,149,2614
1089615,13,2707,149,2094
1096372,13,2290,149,2153
1093777,157,1885,149,960
1093038,174,1885,149,2116
1134459,43,2290,149,1936
1327143,13,1885,150,2590
1112962,13,2707,150,2087
1218496,13,2290,150,2153
1284038,157,1885,150,1022
1435909,174,1885,150,2124
1493457,43,2290,150,1925
1272171,13,1885,151,2569
1210844,13,2707,151,2082
1475974,13,2290,151,2153
1398418,157,1885,151,1080
1158632,174,1885,151,2129
1174658,43,2290,151,1919
1223757,13,1885,152,2549
1283830,13,2707,152,2079
1373463,13,2290,152,2153
1100317,157,1885,152,1135
1044666,174,1885,152,2134
1247295,43,2290,152,1915
1090089,13,1885,153,2531
1242056,13,2707,153,2077
1256563,13,2290,153,2153
1050205,157,1885,153,1187
1022214,174,1885,153,2138
1256335,43,2290,153,1913
1128850,13,1885,154,2514
1129081,13,2707,154,2075
1123285,13,2290,154,2153
1355831,157,1885,154,1235
1109852,174,1885,154,2140
1295935,43,2290,154,1912
1446344,13,1885,155,2499
1213128,13,2707,155,2074
1173215,13,2290,155,2153
1205352,157,1885,155,1279
1103251,174,1885,155,2143
1232035,43,2290,155,1911
